0:0:0:0:0:0:0:1 - [06/Sep/2018:12:51:55 +0300] "GET /sports/web/pdo/common/context?filter=%7B%22client%22%3A%22KendoUI%22%2C%22filter%22%3A%7B%22logic%22%3A%22and%22%2C%22filters%22%3A%5B%7B%22field%22%3A%22ContextType%22%2C%22operator%22%3A%22equals%22%2C%22value%22%3A%22grid%22%7D%2C%7B%22field%22%3A%22ContextViewID%22%2C%22operator%22%3A%22equals%22%2C%22value%22%3A%22%23EmployeeGridSPAView%22%7D%2C%7B%22field%22%3A%22ContextTitle%22%2C%22operator%22%3A%22equals%22%2C%22value%22%3A%22MasterGrid%22%7D%2C%7B%22field%22%3A%22ContextSeqNo%22%2C%22operator%22%3A%22equals%22%2C%22value%22%3A1%7D%5D%7D%7D&_ts=153622751-4554789376-7 HTTP/1.1" 200 1391 91 thd-4 DE16B2769CFE7D5D898D3AF0EB2FDD0A4DBF8114789F.SportsDemo
0:0:0:0:0:0:0:1 - [06/Sep/2018:12:51:55 +0300] "PUT /sports/web/pdo/common/locality/states?_ts=153622751-4554789376-8 HTTP/1.1" 200 552 74 thd-9 DE16B2769CFE7D5D898D3AF0EB2FDD0A4DBF8114789F.SportsDemo
0:0:0:0:0:0:0:1 - [06/Sep/2018:12:51:55 +0300] "GET /sports/web/pdo/personnel/employee?filter=%7B%22client%22%3A%22KendoUI%22%2C%22filter%22%3A%7B%22logic%22%3A%22and%22%2C%22filters%22%3A%5B%5D%7D%2C%22top%22%3A20%2C%22skip%22%3A0%2C%22sort%22%3A%5B%7B%22field%22%3A%22LastName%22%2C%22dir%22%3A%22desc%22%7D%5D%2C%22context%22%3A%7B%7D%7D&_ts=153622751-4554789376-9 HTTP/1.1" 200 1830 74 thd-8 DE16B2769CFE7D5D898D3AF0EB2FDD0A4DBF8114789F.SportsDemo
0:0:0:0:0:0:0:1 - [06/Sep/2018:12:51:55 +0300] "PUT /sports/web/pdo/personnel/employee/count?filter=%7B%22client%22%3A%22KendoUI%22%2C%22filter%22%3A%7B%22logic%22%3A%22and%22%2C%22filters%22%3A%5B%5D%7D%2C%22top%22%3A20%2C%22skip%22%3A0%2C%22sort%22%3A%5B%7B%22field%22%3A%22LastName%22%2C%22dir%22%3A%22desc%22%7D%5D%2C%22context%22%3A%7B%7D%7D&_ts=153622751-4554789376-10 HTTP/1.1" 501 438 60 thd-7 DE16B2769CFE7D5D898D3AF0EB2FDD0A4DBF8114789F.SportsDemo
0:0:0:0:0:0:0:1 - [06/Sep/2018:12:51:55 +0300] "GET /sports/rest/_oeping?_ts=153622751-4554789376-11 HTTP/1.1" 200 39 4 thd-6 DE16B2769CFE7D5D898D3AF0EB2FDD0A4DBF8114789F.SportsDemo
0:0:0:0:0:0:0:1 - [06/Sep/2018:12:51:58 +0300] "GET /sports/web/pdo/personnel/employee?filter=%7B%22client%22%3A%22KendoUI%22%2C%22filter%22%3A%7B%22logic%22%3A%22and%22%2C%22filters%22%3A%5B%7B%22field%22%3A%22State%22%2C%22operator%22%3A%22eq%22%2C%22value%22%3A%22CA%22%7D%5D%7D%2C%22top%22%3A20%2C%22skip%22%3A0%2C%22sort%22%3A%5B%7B%22field%22%3A%22LastName%22%2C%22dir%22%3A%22desc%22%7D%5D%2C%22context%22%3A%7B%7D%7D&_ts=153622751-4554789376-12 HTTP/1.1" 200 675 69 thd-10 DE16B2769CFE7D5D898D3AF0EB2FDD0A4DBF8114789F.SportsDemo
0:0:0:0:0:0:0:1 - [06/Sep/2018:12:52:05 +0300] "PUT /sports/web/pdo/common/context/submit?_ts=153622751-4554789376-13 HTTP/1.1" 501 433 74 thd-2 DE16B2769CFE7D5D898D3AF0EB2FDD0A4DBF8114789F.SportsDemo
0:0:0:0:0:0:0:1 - [06/Sep/2018:12:52:05 +0300] "GET /sports/rest/_oeping?_ts=153622751-4554789376-14 HTTP/1.1" 200 39 2 thd-1 DE16B2769CFE7D5D898D3AF0EB2FDD0A4DBF8114789F.SportsDemo
0:0:0:0:0:0:0:1 - [06/Sep/2018:12:52:05 +0300] "GET /sports/static/app/views/FamilyUpdGridSPA.js?_=1536227511622 HTTP/1.1" 200 9614 19 thd-3 DE16B2769CFE7D5D898D3AF0EB2FDD0A4DBF8114789F.SportsDemo
0:0:0:0:0:0:0:1 - [06/Sep/2018:12:52:05 +0300] "GET /sports/static/app/views/FamilyUpdGridSPA.html HTTP/1.1" 200 1151 8 thd-5 DE16B2769CFE7D5D898D3AF0EB2FDD0A4DBF8114789F.SportsDemo
0:0:0:0:0:0:0:1 - [06/Sep/2018:12:52:05 +0300] "PUT /sports/web/pdo/common/user/session?_ts=153622751-4554789376-15 HTTP/1.1" 200 313 168 thd-4 DE16B2769CFE7D5D898D3AF0EB2FDD0A4DBF8114789F.SportsDemo
0:0:0:0:0:0:0:1 - [06/Sep/2018:12:52:05 +0300] "GET /sports/web/pdo/common/context?filter=%7B%22client%22%3A%22KendoUI%22%2C%22filter%22%3A%7B%22logic%22%3A%22and%22%2C%22filters%22%3A%5B%7B%22field%22%3A%22ContextType%22%2C%22operator%22%3A%22equals%22%2C%22value%22%3A%22grid%22%7D%2C%7B%22field%22%3A%22ContextViewID%22%2C%22operator%22%3A%22equals%22%2C%22value%22%3A%22%23FamilyUpdGridSPAView%22%7D%2C%7B%22field%22%3A%22ContextTitle%22%2C%22operator%22%3A%22equals%22%2C%22value%22%3A%22MasterGrid%22%7D%2C%7B%22field%22%3A%22ContextSeqNo%22%2C%22operator%22%3A%22equals%22%2C%22value%22%3A1%7D%5D%7D%7D&_ts=153622751-4554789376-16 HTTP/1.1" 200 112 67 thd-9 DE16B2769CFE7D5D898D3AF0EB2FDD0A4DBF8114789F.SportsDemo
0:0:0:0:0:0:0:1 - [06/Sep/2018:12:52:05 +0300] "GET /sports/web/pdo/personnel/family?filter=%7B%22client%22%3A%22KendoUI%22%2C%22filter%22%3A%7B%22logic%22%3A%22and%22%2C%22filters%22%3A%5B%5D%7D%2C%22top%22%3A20%2C%22skip%22%3A0%2C%22sort%22%3A%5B%7B%22field%22%3A%22EmpNum%22%2C%22dir%22%3A%22asc%22%7D%5D%2C%22context%22%3A%7B%7D%7D&_ts=153622751-4554789376-17 HTTP/1.1" 200 745 93 thd-8 DE16B2769CFE7D5D898D3AF0EB2FDD0A4DBF8114789F.SportsDemo
0:0:0:0:0:0:0:1 - [06/Sep/2018:12:52:05 +0300] "PUT /sports/web/pdo/personnel/family/count?filter=%7B%22client%22%3A%22KendoUI%22%2C%22filter%22%3A%7B%22logic%22%3A%22and%22%2C%22filters%22%3A%5B%5D%7D%2C%22top%22%3A20%2C%22skip%22%3A0%2C%22sort%22%3A%5B%7B%22field%22%3A%22EmpNum%22%2C%22dir%22%3A%22asc%22%7D%5D%2C%22context%22%3A%7B%7D%7D&_ts=153622751-4554789376-18 HTTP/1.1" 200 61 60 thd-7 DE16B2769CFE7D5D898D3AF0EB2FDD0A4DBF8114789F.SportsDemo
0:0:0:0:0:0:0:1 - [06/Sep/2018:12:52:18 +0300] "PUT /sports/web/pdo/personnel/family/submit?_ts=153622751-4554789376-19 HTTP/1.1" 200 265 112 thd-1 DE16B2769CFE7D5D898D3AF0EB2FDD0A4DBF8114789F.SportsDemo
0:0:0:0:0:0:0:1 - [06/Sep/2018:12:52:18 +0300] "GET /sports/static/vendor/kendo/styles/kendo.common-bootstrap.min.css HTTP/1.1" 200 39284 15 thd-7 DE16B2769CFE7D5D898D3AF0EB2FDD0A4DBF8114789F.SportsDemo
