0:0:0:0:0:0:0:1 - [31/Aug/2018:08:44:05 +0300] "PUT /sports/web/pdo/common/user/menu?_ts=153569424-3332358831-4 HTTP/1.1" 200 374 79 thd-3 5F8430E5B0C1A27E5262E2A596A806A2F9DDA0B66B98.SportsDemo
0:0:0:0:0:0:0:1 - [31/Aug/2018:08:44:05 +0300] "PUT /sports/web/pdo/common/user/translations?_ts=153569424-3332358831-3 HTTP/1.1" 200 369 82 thd-4 5F8430E5B0C1A27E5262E2A596A806A2F9DDA0B66B98.SportsDemo
0:0:0:0:0:0:0:1 - [31/Aug/2018:08:44:05 +0300] "GET /sports/static/app/views/Home.js?_=1535694244046 HTTP/1.1" 200 486 1 thd-5 5F8430E5B0C1A27E5262E2A596A806A2F9DDA0B66B98.SportsDemo
0:0:0:0:0:0:0:1 - [31/Aug/2018:08:44:05 +0300] "GET /sports/static/vendor/font-awesome/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 200 77160 3 thd-9 5F8430E5B0C1A27E5262E2A596A806A2F9DDA0B66B98.SportsDemo
0:0:0:0:0:0:0:1 - [31/Aug/2018:08:44:05 +0300] "GET /sports/static/vendor/kendo/styles/fonts/glyphs/WebComponentsIcons.ttf?gedxeo HTTP/1.1" 200 96492 3 thd-8 5F8430E5B0C1A27E5262E2A596A806A2F9DDA0B66B98.SportsDemo
0:0:0:0:0:0:0:1 - [31/Aug/2018:08:44:05 +0300] "GET /sports/static/app/views/Home.html HTTP/1.1" 304 - 2 thd-10 5F8430E5B0C1A27E5262E2A596A806A2F9DDA0B66B98.SportsDemo
0:0:0:0:0:0:0:1 - [31/Aug/2018:08:44:05 +0300] "PUT /sports/web/pdo/common/user/session?_ts=153569424-3332358831-5 HTTP/1.1" 200 314 172 thd-1 5F8430E5B0C1A27E5262E2A596A806A2F9DDA0B66B98.SportsDemo
0:0:0:0:0:0:0:1 - [31/Aug/2018:08:44:08 +0300] "GET /sports/static/app/views/EmployeeGridSPA.js?_=1535694244047 HTTP/1.1" 200 11877 3 thd-7 5F8430E5B0C1A27E5262E2A596A806A2F9DDA0B66B98.SportsDemo
0:0:0:0:0:0:0:1 - [31/Aug/2018:08:44:08 +0300] "GET /sports/static/app/views/EmployeeGridSPA.html HTTP/1.1" 304 - 1 thd-6 5F8430E5B0C1A27E5262E2A596A806A2F9DDA0B66B98.SportsDemo
0:0:0:0:0:0:0:1 - [31/Aug/2018:08:44:08 +0300] "PUT /sports/web/pdo/common/user/session?_ts=153569424-3332358831-6 HTTP/1.1" 200 314 154 thd-2 5F8430E5B0C1A27E5262E2A596A806A2F9DDA0B66B98.SportsDemo
0:0:0:0:0:0:0:1 - [31/Aug/2018:08:44:08 +0300] "GET /sports/web/pdo/common/context?filter=%7B%22client%22%3A%22KendoUI%22%2C%22filter%22%3A%7B%22logic%22%3A%22and%22%2C%22filters%22%3A%5B%7B%22field%22%3A%22ContextType%22%2C%22operator%22%3A%22equals%22%2C%22value%22%3A%22grid%22%7D%2C%7B%22field%22%3A%22ContextViewID%22%2C%22operator%22%3A%22equals%22%2C%22value%22%3A%22%23EmployeeGridSPAView%22%7D%2C%7B%22field%22%3A%22ContextTitle%22%2C%22operator%22%3A%22equals%22%2C%22value%22%3A%22MasterGrid%22%7D%2C%7B%22field%22%3A%22ContextSeqNo%22%2C%22operator%22%3A%22equals%22%2C%22value%22%3A1%7D%5D%7D%7D&_ts=153569424-3332358831-7 HTTP/1.1" 200 1385 91 thd-3 5F8430E5B0C1A27E5262E2A596A806A2F9DDA0B66B98.SportsDemo
0:0:0:0:0:0:0:1 - [31/Aug/2018:08:44:08 +0300] "PUT /sports/web/pdo/common/locality/states?_ts=153569424-3332358831-8 HTTP/1.1" 200 552 75 thd-4 5F8430E5B0C1A27E5262E2A596A806A2F9DDA0B66B98.SportsDemo
0:0:0:0:0:0:0:1 - [31/Aug/2018:08:44:08 +0300] "GET /sports/web/pdo/personnel/employee?filter=%7B%22client%22%3A%22KendoUI%22%2C%22filter%22%3A%7B%22logic%22%3A%22and%22%2C%22filters%22%3A%5B%5D%7D%2C%22top%22%3A20%2C%22skip%22%3A0%2C%22sort%22%3A%5B%7B%22field%22%3A%22Address%22%2C%22dir%22%3A%22asc%22%7D%5D%2C%22context%22%3A%7B%7D%7D&_ts=153569424-3332358831-9 HTTP/1.1" 200 1816 95 thd-5 5F8430E5B0C1A27E5262E2A596A806A2F9DDA0B66B98.SportsDemo
