0:0:0:0:0:0:0:1 - [03/Sep/2018:15:15:59 +0300] "GET /sports/static/vendor/kendo/js/messages/kendo.messages.en-US.min.js?_=1535976958753 HTTP/1.1" 200 26908 10 thd-2 1FEEF9D9A7A536A68FDD328E42EDB455B4CE0F6D0D1A.SportsDemo
0:0:0:0:0:0:0:1 - [03/Sep/2018:15:15:59 +0300] "GET /sports/static/assets/fonts/opensans/opensans-webfont.woff HTTP/1.1" 200 21080 6 thd-1 1FEEF9D9A7A536A68FDD328E42EDB455B4CE0F6D0D1A.SportsDemo
0:0:0:0:0:0:0:1 - [03/Sep/2018:15:15:59 +0300] "GET /sports/static/auth/j_spring_security_logout HTTP/1.1" 200 42 3 thd-1 -
0:0:0:0:0:0:0:1 - [03/Sep/2018:15:15:59 +0300] "GET /favicon.ico HTTP/1.1" 200 370070 10 thd-5 -
0:0:0:0:0:0:0:1 - [03/Sep/2018:15:15:59 +0300] "POST /sports/static/auth/j_spring_security_check?_ts=153597695-5255732324-1 HTTP/1.1" 200 42 36 thd-6 D192E66E95DB8E05E924E0D9AECD2DF1F2F632F6DB4A.SportsDemo
0:0:0:0:0:0:0:1 - [03/Sep/2018:15:15:59 +0300] "GET /sports/static/home.html?_ts=153597695-5255732324-2 HTTP/1.1" 403 49 2 thd-4 D192E66E95DB8E05E924E0D9AECD2DF1F2F632F6DB4A.SportsDemo
0:0:0:0:0:0:0:1 - [03/Sep/2018:15:15:59 +0300] "GET /sports/web/pdo/common HTTP/1.1" 200 1633 71 thd-9 D192E66E95DB8E05E924E0D9AECD2DF1F2F632F6DB4A.SportsDemo
0:0:0:0:0:0:0:1 - [03/Sep/2018:15:15:59 +0300] "PUT /sports/web/pdo/common/user/translations?_ts=153597695-5255732324-3 HTTP/1.1" 200 369 64 thd-8 D192E66E95DB8E05E924E0D9AECD2DF1F2F632F6DB4A.SportsDemo
0:0:0:0:0:0:0:1 - [03/Sep/2018:16:40:12 +0300] "PUT /sports/web/pdo/common/tfa/login?_ts=153597695-5255732324-4 HTTP/1.1" 200 63 124 thd-8 3B51F1B9F6FC7620A228BB8CC1B57C36318AB319E0C5.SportsDemo
0:0:0:0:0:0:0:1 - [03/Sep/2018:16:40:12 +0300] "GET /sports/static/auth/j_spring_security_logout HTTP/1.1" 200 42 2 thd-1 -
0:0:0:0:0:0:0:1 - [03/Sep/2018:16:40:12 +0300] "POST /sports/static/auth/j_spring_security_check?_ts=153597695-5255732324-5 HTTP/1.1" 200 42 21 thd-2 B11A554C2FA96CA69ABD90C70129A2E5706C54455981.SportsDemo
0:0:0:0:0:0:0:1 - [03/Sep/2018:16:40:12 +0300] "GET /sports/static/vendor/animate-css/animate.min.css HTTP/1.1" 200 4026 3 thd-10 B11A554C2FA96CA69ABD90C70129A2E5706C54455981.SportsDemo
0:0:0:0:0:0:0:1 - [03/Sep/2018:16:40:12 +0300] "GET /sports/static/vendor/bootstrap/dist/css/bootstrap.min.css HTTP/1.1" 200 20027 7 thd-5 B11A554C2FA96CA69ABD90C70129A2E5706C54455981.SportsDemo
0:0:0:0:0:0:0:1 - [03/Sep/2018:16:40:12 +0300] "GET /sports/static/vendor/font-awesome/css/font-awesome.min.css HTTP/1.1" 200 7162 10 thd-7 B11A554C2FA96CA69ABD90C70129A2E5706C54455981.SportsDemo
0:0:0:0:0:0:0:1 - [03/Sep/2018:16:40:12 +0300] "GET /sports/static/vendor/kendo/styles/kendo.common.min.css HTTP/1.1" 200 38603 17 thd-3 B11A554C2FA96CA69ABD90C70129A2E5706C54455981.SportsDemo
0:0:0:0:0:0:0:1 - [03/Sep/2018:16:40:12 +0300] "GET /sports/static/vendor/kendo/styles/kendo.default.min.css HTTP/1.1" 200 10078 21 thd-9 B11A554C2FA96CA69ABD90C70129A2E5706C54455981.SportsDemo
0:0:0:0:0:0:0:1 - [03/Sep/2018:16:40:12 +0300] "GET /sports/static/vendor/kendo/styles/kendo.common-bootstrap.min.css HTTP/1.1" 200 39284 22 thd-4 B11A554C2FA96CA69ABD90C70129A2E5706C54455981.SportsDemo
0:0:0:0:0:0:0:1 - [03/Sep/2018:16:40:12 +0300] "GET /sports/static/assets/css/icon.css HTTP/1.1" 200 2277 11 thd-6 B11A554C2FA96CA69ABD90C70129A2E5706C54455981.SportsDemo
0:0:0:0:0:0:0:1 - [03/Sep/2018:16:40:12 +0300] "GET /sports/static/vendor/bootstrap/dist/js/bootstrap.min.js HTTP/1.1" 200 37051 2 thd-2 B11A554C2FA96CA69ABD90C70129A2E5706C54455981.SportsDemo
0:0:0:0:0:0:0:1 - [03/Sep/2018:16:40:12 +0300] "GET /sports/static/vendor/jquery/dist/jquery.min.js HTTP/1.1" 200 97168 3 thd-1 B11A554C2FA96CA69ABD90C70129A2E5706C54455981.SportsDemo
0:0:0:0:0:0:0:1 - [03/Sep/2018:16:40:12 +0300] "GET /sports/static/assets/css/app.css HTTP/1.1" 200 25597 12 thd-8 B11A554C2FA96CA69ABD90C70129A2E5706C54455981.SportsDemo
0:0:0:0:0:0:0:1 - [03/Sep/2018:16:40:12 +0300] "GET /sports/static/vendor/psc/lib/progress.all.min.js HTTP/1.1" 200 271795 4 thd-5 B11A554C2FA96CA69ABD90C70129A2E5706C54455981.SportsDemo
0:0:0:0:0:0:0:1 - [03/Sep/2018:16:40:12 +0300] "GET /sports/static/assets/img/logo.png HTTP/1.1" 200 54380 6 thd-7 B11A554C2FA96CA69ABD90C70129A2E5706C54455981.SportsDemo
0:0:0:0:0:0:0:1 - [03/Sep/2018:16:40:12 +0300] "GET /sports/static/vendor/spark/lib/spark.min.js HTTP/1.1" 200 27121 2 thd-3 B11A554C2FA96CA69ABD90C70129A2E5706C54455981.SportsDemo
0:0:0:0:0:0:0:1 - [03/Sep/2018:16:40:12 +0300] "GET /sports/static/vendor/jszip/dist/jszip.min.js HTTP/1.1" 200 81504 2 thd-9 B11A554C2FA96CA69ABD90C70129A2E5706C54455981.SportsDemo
0:0:0:0:0:0:0:1 - [03/Sep/2018:16:40:12 +0300] "GET /sports/static/app/main.js HTTP/1.1" 200 33485 2 thd-4 B11A554C2FA96CA69ABD90C70129A2E5706C54455981.SportsDemo
0:0:0:0:0:0:0:1 - [03/Sep/2018:16:40:12 +0300] "GET /sports/static/vendor/kendo/js/kendo.all.min.js HTTP/1.1" 200 3112566 112 thd-10 B11A554C2FA96CA69ABD90C70129A2E5706C54455981.SportsDemo
0:0:0:0:0:0:0:1 - [03/Sep/2018:16:40:13 +0300] "GET /sports/static/assets/fonts/opensans/opensans-webfont.woff HTTP/1.1" 200 21080 3 thd-2 B11A554C2FA96CA69ABD90C70129A2E5706C54455981.SportsDemo
0:0:0:0:0:0:0:1 - [03/Sep/2018:16:40:13 +0300] "GET /sports/static/vendor/kendo/js/messages/kendo.messages.en-US.min.js?_=1535982012822 HTTP/1.1" 200 26908 4 thd-1 B11A554C2FA96CA69ABD90C70129A2E5706C54455981.SportsDemo
0:0:0:0:0:0:0:1 - [03/Sep/2018:16:40:13 +0300] "GET /sports/static/vendor/kendo/js/cultures/kendo.culture.en-US.min.js?_=1535982012821 HTTP/1.1" 200 5483 6 thd-6 B11A554C2FA96CA69ABD90C70129A2E5706C54455981.SportsDemo
